0,1
Datasets\Medicines\words\Tribion_1_585.png,Tribion
Datasets\Medicines\words\MefenamicAcid_1_2335.png,MefenamicAcid
Datasets\Medicines\words\Daktarin_1_2278.png,Daktarin
Datasets\Medicines\words\XincB_1_3460.png,XincB
Datasets\Medicines\words\Ebatin_1_409.png,Ebatin
Datasets\Medicines\words\Myotril_1_3418.png,Myotril
Datasets\Medicines\words\Cefalexin_1_2219.png,Cefalexin
Datasets\Medicines\words\Aceclofenac_1_2300.png,Aceclofenac
Datasets\Medicines\words\BTonic_1_1349.png,BTonic
Datasets\Medicines\words\Avenac_1_3305.png,Avenac
Datasets\Medicines\words\Cefalexin_1_3100.png,Cefalexin
Datasets\Medicines\words\Cloxacillin_1_1999.png,Cloxacillin
Datasets\Medicines\words\Cavic-CPlus_1_1603.png,Cavic-CPlus
Datasets\Medicines\words\Alatrol_1_3964.png,Alatrol
Datasets\Medicines\words\Boxol_1_592.png,Boxol
Datasets\Medicines\words\Tamino_1_3159.png,Tamino
Datasets\Medicines\words\ZincGluconate_1_2074.png,ZincGluconate
Datasets\Medicines\words\Acetylcysteine_1_2096.png,Acetylcysteine
Datasets\Medicines\words\Paracetamol_1_2460.png,Paracetamol
Datasets\Medicines\words\Esotac_1_1724.png,Esotac
Datasets\Medicines\words\AtoZ_1_79.png,AtoZ
Datasets\Medicines\words\Erythromycin_1_1912.png,Erythromycin
Datasets\Medicines\words\Ofloxacin_1_2454.png,Ofloxacin
Datasets\Medicines\words\Paracetamol_1_3098.png,Paracetamol
Datasets\Medicines\words\GENOVEOilFreeMoisturizer_1_1295.png,GENOVEOilFreeMoisturizer
Datasets\Medicines\words\Rexiet_1_3348.png,Rexiet
Datasets\Medicines\words\Dimerol_1_547.png,Dimerol
Datasets\Medicines\words\Seclo_1_835.png,Seclo
Datasets\Medicines\words\Cefuroxime_1_2382.png,Cefuroxime
Datasets\Medicines\words\Microgest_1_841.png,Microgest
Datasets\Medicines\words\Ezylife_1_1715.png,Ezylife
Datasets\Medicines\words\Ciprocin_1_4122.png,Ciprocin
Datasets\Medicines\words\MefenamicAcid_1_2739.png,MefenamicAcid
Datasets\Medicines\words\Alcet_1_3916.png,Alcet
Datasets\Medicines\words\Amoxicillin_1_2494.png,Amoxicillin
Datasets\Medicines\words\TranexamicAcid_1_2069.png,TranexamicAcid
Datasets\Medicines\words\Amoxicillin_1_2973.png,Amoxicillin
Datasets\Medicines\words\Stressnil_1_3284.png,Stressnil
Datasets\Medicines\words\Dexlan_1_1385.png,Dexlan
Datasets\Medicines\words\Vasco_1_393.png,Vasco
Datasets\Medicines\words\SpirocardPlus_1_830.png,SpirocardPlus
Datasets\Medicines\words\Amoxicillin_1_2885.png,Amoxicillin
Datasets\Medicines\words\Fluver_1_916.png,Fluver
Datasets\Medicines\words\Bactin_1_480.png,Bactin
Datasets\Medicines\words\Sergel_1_1139.png,Sergel
Datasets\Medicines\words\Mydocalm_1_937.png,Mydocalm
Datasets\Medicines\words\Nalbun_1_1367.png,Nalbun
Datasets\Medicines\words\Cefuroxime_1_2842.png,Cefuroxime
Datasets\Medicines\words\Paracetamol_1_2794.png,Paracetamol
Datasets\Medicines\words\Ibuprofen_1_2456.png,Ibuprofen
Datasets\Medicines\words\Cef-3DS_1_21.png,Cef-3DS
Datasets\Medicines\words\Calciumade_1_2296.png,Calciumade
Datasets\Medicines\words\Camlosart_1_3498.png,Camlosart
Datasets\Medicines\words\Cefaclor_1_1974.png,Cefaclor
Datasets\Medicines\words\Mupirocin_1_3027.png,Mupirocin
Datasets\Medicines\words\XincB_1_3235.png,XincB
Datasets\Medicines\words\Delight_1_3709.png,Delight
Datasets\Medicines\words\Atin_1_3139.png,Atin
Datasets\Medicines\words\N-S_1_281.png,N-S
Datasets\Medicines\words\ZoviaGold_1_708.png,ZoviaGold
Datasets\Medicines\words\Domilux_1_4120.png,Domilux
Datasets\Medicines\words\Ascobex_1_24.png,Ascobex
Datasets\Medicines\words\Ciprocin_1_3303.png,Ciprocin
Datasets\Medicines\words\Tofen_1_3357.png,Tofen
Datasets\Medicines\words\AlgitaD_1_503.png,AlgitaD
Datasets\Medicines\words\Paracetamol_1_2489.png,Paracetamol
Datasets\Medicines\words\Ancor_1_1766.png,Ancor
Datasets\Medicines\words\Budicort_1_649.png,Budicort
